Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,International Collaborations,All Open Access Documents,% First Author (2008-2022),% Global Baseline (Docs),% Documents in Top 1%,% International Collaborations,Gold Documents,% Last Author (2008-2022),% Global Baseline (Cites),Citation Impact,% Documents in Top 10%,% Industry Collaborations,Gold - Hybrid Documents,% Baseline for All Items (Docs),Average Percentile,% Highly Cited Papers,Location Type,Free to Read Documents,Industry Collaborations,% Baseline for All Items (Cites),Highly Cited Papers,Impact Relative to World,Domestic Collaborations,% Baseline for Pinned Items (Docs),Green Submitted Documents,% Hot Papers,Green Accepted Documents,% Domestic Collaborations,% Baseline for Pinned Items (Cites),Documents in JIF Journals,Green Published Documents,Documents in Q1 Journals,Green Only Documents,Citations From Patents,Documents in Q2 Journals,Non-Open Access Documents,Documents in Q3 Journals,% All Open Access Documents,Documents in Q4 Journals,% Gold Documents,% Documents in Q1 Journals,% Gold - Hybrid Documents,% Documents in Q2 Journals,% Free to Read Documents,% Documents in Q3 Journals,% Green Submitted Documents,% Documents in Q4 Journals,% Green Accepted Documents,% Green Published Documents,Documents in Top 1%,Documents in Top 10%,% Green Only Documents,Hot Papers,% Non-Open Access Documents
OMAN,267,4157,96,80.52,0.5035700374531835,107,32,0.0,0.019793876797573138,0.0,40.07,1,0.0,0.011492092420308476,15.569288389513108,5.24,0.75,1,0.022851450168433162,37.55878052434457,0.0,Country/Region,25,2,0.011559530553477108,0,0.5805882565520204,9,n/a,5,0.0,0,3.37,n/a,243,8,56,5,21,61,235,56,11.99,70,0.37,23.05,0.37,25.1,9.36,23.05,1.87,28.81,0.0,3.0,0,14,1.87,0,88.01
BOLIVIA,83,3913,97,83.13,1.3128843373493977,67,13,0.0,0.006153152712354197,3.61,80.72,4,0.0,0.010817550551038505,47.144578313253014,15.66,2.41,0,0.007103634322022293,52.394403614457836,0.0,Country/Region,6,2,0.010881030323732482,0,1.758050069083969,2,n/a,3,0.0,0,2.41,n/a,73,6,35,3,37,15,70,18,15.66,5,4.82,47.95,0.0,20.55,7.23,24.66,3.61,6.85,0.0,7.23,3,13,3.61,0,84.34
GAMBIA,74,3654,98,95.95,1.1282337837837837,54,23,0.0,0.005485943382098922,0.0,72.97,1,0.0,0.010101540943903578,49.37837837837838,17.57,2.7,0,0.006333360720839153,61.703025675675676,0.0,Country/Region,16,2,0.010160819014290438,0,1.84134983544776,1,n/a,3,0.0,1,1.35,n/a,71,10,52,6,46,10,51,6,31.08,3,1.35,73.24,0.0,14.08,21.62,8.45,4.05,4.23,1.35,13.51,0,13,8.11,0,68.92
UZBEKISTAN,410,3636,99,61.46,0.3332724390243903,114,19,0.0,0.030395091711629164,0.0,27.8,0,0.0,0.01005177965846563,8.86829268292683,3.41,0.24,0,0.03509024183167639,24.81821780487805,0.0,Country/Region,5,1,0.01011076571865354,0,0.3307040410942343,26,n/a,12,0.0,0,6.34,n/a,239,5,68,14,17,42,391,41,4.63,88,0.0,28.45,0.0,17.57,1.22,17.15,2.93,36.82,0.0,1.22,0,14,3.41,0,95.37
LUXEMBOURG,150,3622,100,72.0,0.7573366666666667,85,24,0.0,0.011120155504254572,0.67,56.67,1,0.0,0.010013076436458336,24.14666666666667,8.67,3.33,1,0.012837893353052337,39.41800666666666,0.0,Country/Region,14,5,0.010071835377602619,0,0.9004439220861015,0,n/a,4,0.0,0,0.0,n/a,123,6,52,8,46,30,126,17,16.0,24,0.67,42.28,0.67,24.39,9.33,13.82,2.67,19.51,0.0,4.0,1,13,5.33,0,84.0
SYRIA,137,3386,101,83.94,0.7568510948905111,70,6,0.0,0.010156408693885842,0.73,51.09,3,0.0,0.009360650694049675,24.715328467153284,6.57,0.0,0,0.011725275929121134,46.701178832116796,0.0,Country/Region,2,0,0.009415581057029946,0,0.9216496673361311,2,n/a,1,0.0,1,1.46,n/a,109,0,30,1,20,33,131,25,4.38,21,2.19,27.52,0.0,30.28,1.46,22.94,0.73,19.27,0.73,0.0,1,9,0.73,0,95.62
BOTSWANA,141,3000,102,82.98,0.5562900709219859,54,15,0.0,0.010452946173999297,0.0,38.3,1,0.0,0.008293547572991444,21.27659574468085,4.26,0.0,4,0.012067619751869197,40.50241276595745,0.0,Country/Region,7,0,0.008342215939483118,0,0.7934172275392414,7,n/a,2,0.0,1,4.96,n/a,107,2,21,3,5,36,126,31,10.64,19,0.71,19.63,2.84,33.64,4.96,28.97,1.42,17.76,0.71,1.42,0,6,2.13,0,89.36
GABON,52,2930,103,98.08,1.2833326923076922,43,10,0.0,0.003854987241474918,3.85,82.69,0,0.0,0.008100031462954977,56.34615384615385,21.15,13.46,0,0.0044504696957248105,58.59624807692308,0.0,Country/Region,6,7,0.008147564234228513,0,2.1011824308544025,0,n/a,0,0.0,0,0.0,n/a,52,4,30,4,106,3,42,9,19.23,10,0.0,57.69,0.0,5.77,11.54,17.31,0.0,19.23,0.0,7.69,2,11,7.69,0,80.77
TRINIDAD & TOBAGO,135,2925,104,83.7,0.7079674074074075,52,10,0.0,0.010008139953829114,0.74,38.52,2,0.0,0.008086208883666656,21.666666666666668,7.41,0.74,1,0.011554104017747103,40.77251851851852,0.0,Country/Region,6,1,0.00813366054099604,0,0.8079632100441275,10,n/a,3,0.0,0,7.41,n/a,114,2,33,1,16,23,125,20,7.41,38,1.48,28.95,0.74,20.18,4.44,17.54,2.22,33.33,0.0,1.48,1,10,0.74,0,92.59
PAPUA NEW GUINEA,94,2891,105,85.11,0.802686170212766,60,21,0.0,0.006968630782666198,1.06,63.83,0,0.0,0.007992215344506087,30.75531914893617,10.64,4.26,0,0.008045079834579465,44.26732446808511,0.0,Country/Region,8,4,0.008039115427015232,0,1.1468846024079735,0,n/a,7,0.0,0,0.0,n/a,80,7,31,13,25,18,73,15,22.34,16,0.0,38.75,0.0,22.5,8.51,18.75,7.45,20.0,0.0,7.45,1,10,13.83,0,77.66
SUDAN,94,2865,106,90.43,0.8919425531914894,56,11,0.0,0.006968630782666198,2.13,59.57,1,0.0,0.007920337932206829,30.47872340425532,8.51,1.06,2,0.008045079834579465,45.58964468085107,0.0,Country/Region,5,1,0.007966816222206378,0,1.1365701784499633,3,n/a,2,0.0,1,3.19,n/a,86,1,32,3,4,17,83,21,11.7,16,1.06,37.21,2.13,19.77,5.32,24.42,2.13,18.6,1.06,1.06,2,8,3.19,0,88.3
JAMAICA,183,2681,107,66.12,0.4411043715846995,55,6,0.0,0.013566589715190577,0.0,30.05,1,0.0,0.007411667014396687,14.650273224043715,3.28,0.0,0,0.015662229890723852,29.23366775956284,0.0,Country/Region,5,0,0.007455160311251414,0,0.5463176207133179,1,n/a,1,0.0,0,0.55,n/a,158,1,43,0,18,37,177,6,3.28,72,0.55,27.22,0.0,23.42,2.73,3.8,0.55,45.57,0.0,0.55,0,6,0.0,0,96.72
MADAGASCAR,80,2609,108,91.25,0.8087300000000001,61,11,0.0,0.005930749602269104,0.0,76.25,0,0.0,0.007212621872644892,32.6125,8.75,0.0,0,0.0068468764549612475,43.94491875,0.0,Country/Region,8,0,0.007254947128703819,0,1.2161400086568048,2,n/a,0,0.0,0,2.5,n/a,74,4,26,3,10,21,69,9,13.75,18,0.0,35.14,0.0,28.38,10.0,12.16,0.0,24.32,0.0,5.0,0,7,3.75,0,86.25
KAZAKHSTAN,283,2605,109,55.12,0.4082098939929329,74,16,0.0,0.02098002671802696,0.0,26.15,4,0.0,0.007201563809214237,9.20494699646643,4.24,0.71,0,0.02422082545942541,25.358863250883395,0.0,Country/Region,10,2,0.007243824174117841,0,0.34325808570235694,9,n/a,7,0.0,0,3.18,n/a,159,3,36,2,3,49,267,29,5.65,45,1.41,22.64,0.0,30.82,3.53,18.24,2.47,28.3,0.0,1.06,0,12,0.71,0,94.35
MONACO,51,2603,110,90.2,1.2329549019607844,37,8,0.0,0.003780852871446554,1.96,72.55,0,0.0,0.007196034777498909,51.03921568627451,13.73,3.92,0,0.004364883740037795,55.96322352941177,0.0,Country/Region,6,2,0.007238262696824853,0,1.9032834712623201,0,n/a,3,0.0,0,0.0,n/a,41,1,16,2,8,13,43,9,15.69,3,0.0,39.02,0.0,31.71,11.76,21.95,5.88,7.32,0.0,1.96,1,7,3.92,0,84.31
MONGOLIA,53,2602,111,81.13,1.2291849056603774,42,7,0.0,0.003929121611503282,1.89,79.25,0,0.0,0.007193270261641245,49.094339622641506,15.09,3.77,0,0.004536055651411826,49.031947169811325,0.0,Country/Region,5,2,0.007235481958178358,0,1.830757857069509,0,n/a,2,0.0,0,0.0,n/a,41,4,15,2,6,16,46,5,13.21,5,0.0,36.59,0.0,39.02,9.43,12.2,3.77,12.2,0.0,7.55,1,8,3.77,0,86.79
DOMINICAN REPUBLIC,53,2478,112,81.13,1.3469075471698113,44,11,0.0,0.003929121611503282,5.66,83.02,1,0.0,0.006850470295290932,46.75471698113208,11.32,7.55,0,0.004536055651411826,45.17102264150944,0.0,Country/Region,9,4,0.0068906703660130564,0,1.74351190231293,0,n/a,1,0.0,0,0.0,n/a,47,5,22,1,37,16,42,3,20.75,6,1.89,46.81,0.0,34.04,16.98,6.38,1.89,12.77,0.0,9.43,3,6,1.89,0,79.25
ZAMBIA,85,2452,113,81.18,0.717975294117647,62,14,0.0,0.0063014214524109245,0.0,72.94,0,0.0,0.006778592882991672,28.847058823529412,7.06,1.18,1,0.007274806233396324,46.054731764705885,0.0,Country/Region,12,1,0.006818371161204202,0,1.0757244114180275,1,n/a,0,0.0,0,1.18,n/a,75,3,42,1,6,16,71,9,16.47,8,0.0,56.0,1.18,21.33,14.12,12.0,0.0,10.67,0.0,3.53,0,6,1.18,0,83.53
NEW CALEDONIA,75,2392,114,97.33,0.783608,59,11,0.0,0.005560077752127286,0.0,78.67,0,0.0,0.006612721931531844,31.893333333333334,6.67,0.0,0,0.0064189466765261684,48.912905333333335,0.0,Country/Region,6,0,0.0066515268424145405,0,1.1893218451849557,2,n/a,1,0.0,1,2.67,n/a,59,7,21,5,4,16,64,12,14.67,10,0.0,35.59,0.0,27.12,8.0,20.34,1.33,16.95,1.33,9.33,0,5,6.67,0,85.33
BENIN,75,2269,115,90.67,0.8310466666666666,47,12,0.0,0.005560077752127286,2.67,62.67,1,0.0,0.006272686481039196,30.253333333333334,6.67,2.67,2,0.0064189466765261684,44.291788000000004,0.0,Country/Region,4,2,0.006309495988895732,0,1.128165245286231,1,n/a,3,0.0,1,1.33,n/a,57,3,23,5,3,15,63,10,16.0,9,1.33,40.35,2.67,26.32,5.33,17.54,4.0,15.79,1.33,4.0,2,5,6.67,0,84.0
MOLDOVA,237,2184,116,64.98,0.3176029535864979,108,17,0.0,0.017569845696722222,0.42,45.57,0,0.0,0.00603770263313777,9.215189873417721,0.84,2.11,0,0.020283871497822695,27.410984388185653,0.0,Country/Region,8,5,0.0060731332039437105,0,0.3436400488288947,13,n/a,7,0.0,0,5.49,n/a,163,4,50,9,40,43,220,22,7.17,48,0.0,30.67,0.0,26.38,3.38,13.5,2.95,29.45,0.0,1.69,1,2,3.8,0,92.83
MACEDONIA,206,2080,117,63.11,0.5216470873786409,70,17,0.0,0.015271680225842946,0.0,33.98,7,0.0,0.005750192983940734,10.097087378640778,3.4,3.88,1,0.01763070687152521,32.35759223300971,0.0,Country/Region,1,8,0.0057839363847082955,0,0.37652654448658374,3,n/a,3,0.0,6,1.46,n/a,153,1,38,8,20,34,189,40,8.25,41,3.4,24.84,0.49,22.22,0.49,26.14,1.46,26.8,2.91,0.49,0,7,3.88,0,91.75
MALI,49,1908,118,75.51,1.3318244897959184,42,15,0.0,0.003632584131389827,2.04,85.71,0,0.0,0.005274696256422557,38.93877551020408,14.29,0.0,3,0.004193711828663764,50.263383673469384,0.0,Country/Region,7,0,0.005305649337511264,0,1.4520506795267145,0,n/a,0,0.0,8,0.0,n/a,41,1,26,5,5,11,34,1,30.61,3,0.0,63.41,6.12,26.83,14.29,2.44,0.0,7.32,16.33,2.04,1,7,10.2,0,69.39
BURKINA FASO,80,1865,119,86.25,0.6246637500000001,56,13,0.0,0.005930749602269104,0.0,70.0,0,0.0,0.005155822074543014,23.3125,6.25,0.0,1,0.0068468764549612475,43.2122625,0.0,Country/Region,8,0,0.005186077575712006,0,0.8693373384994025,0,n/a,1,0.0,2,0.0,n/a,69,3,28,4,7,16,67,10,16.25,15,0.0,40.58,1.25,23.19,10.0,14.49,1.25,21.74,2.5,3.75,0,5,5.0,0,83.75
BARBADOS,45,1792,120,91.11,1.0203266666666668,22,5,0.0,0.0033360466512763714,2.22,48.89,0,0.0,0.004954012416933556,39.82222222222222,17.78,2.22,1,0.0038513680059157015,47.42380888888889,0.0,Country/Region,2,1,0.004983083654517916,0,1.4849949460503349,2,n/a,1,0.0,0,4.44,n/a,37,1,16,2,7,4,40,9,11.11,8,0.0,43.24,2.22,10.81,4.44,24.32,2.22,21.62,0.0,2.22,1,8,4.44,0,88.89
NIGER,44,1756,121,93.18,1.0971840909090909,31,15,0.0,0.0032619122812480076,0.0,70.45,1,0.0,0.004854489846057658,39.90909090909091,13.64,4.55,1,0.003765782050228686,53.42394090909091,0.0,Country/Region,4,2,0.004882977063244118,0,1.488234332347015,1,n/a,4,0.0,7,2.27,n/a,40,1,18,9,43,9,29,7,34.09,6,2.27,45.0,2.27,22.5,9.09,17.5,9.09,15.0,15.91,2.27,0,6,20.45,0,65.91
BRUNEI,41,1707,122,85.37,0.5475707317073171,18,5,0.0,0.0030395091711629164,0.0,43.9,0,0.0,0.0047190285690321306,41.63414634146341,4.88,4.88,1,0.0035090241831676385,41.88617804878049,0.0,Country/Region,4,2,0.004746720869565894,0,1.5525627011767267,1,n/a,1,0.0,0,2.44,n/a,36,1,14,0,2,8,36,9,12.2,5,0.0,38.89,2.44,22.22,9.76,25.0,2.44,13.89,0.0,2.44,0,2,0.0,0,87.8
NETHERLANDS ANTILLES,24,1649,123,83.33,3.9198166666666663,15,6,0.0,0.0017792248806807315,12.5,62.5,0,0.0,0.00455868664928763,68.70833333333333,16.67,0.0,0,0.002054062936488374,49.01712083333334,0.0,Country/Region,5,0,0.004585438028069221,0,2.5621756410822427,0,n/a,0,0.0,0,0.0,n/a,16,2,6,1,61,8,18,1,25.0,1,0.0,37.5,0.0,50.0,20.83,6.25,0.0,6.25,0.0,8.33,3,4,4.17,0,75.0
GUATEMALA,68,1619,124,76.47,2.142669117647059,52,11,0.0,0.005041137161928739,1.47,76.47,1,0.0,0.004475751173557716,23.808823529411764,19.12,5.88,0,0.00581984498671706,48.2896955882353,0.0,Country/Region,7,4,0.004502015868674389,0,0.887845545516816,0,n/a,3,0.0,0,0.0,n/a,61,2,42,3,10,13,57,3,16.18,3,1.47,68.85,0.0,21.31,10.29,4.92,4.41,4.92,0.0,2.94,1,13,4.41,0,83.82
NICARAGUA,31,1586,125,90.32,1.2022806451612904,25,5,0.0,0.002298165470879278,3.23,80.65,1,0.0,0.0043845221502548095,51.16129032258065,12.9,3.23,1,0.002653164626297483,61.29811935483871,0.0,Country/Region,2,1,0.004410251493340076,0,1.9078357088783915,0,n/a,1,0.0,0,0.0,n/a,28,3,14,1,14,9,26,3,16.13,2,3.23,50.0,3.23,32.14,6.45,10.71,3.23,7.14,0.0,9.68,1,4,3.23,0,83.87
BERMUDA,23,1538,126,91.3,1.3282,20,4,0.0,0.0017050905106523676,0.0,86.96,0,0.0,0.0042518253890869466,66.8695652173913,26.09,0.0,0,0.0019684769808013584,57.65029565217392,0.0,Country/Region,4,0,0.004276776038308346,0,2.493606856952243,0,n/a,0,0.0,0,0.0,n/a,21,0,10,0,0,6,19,1,17.39,4,0.0,47.62,0.0,28.57,17.39,4.76,0.0,19.05,0.0,0.0,0,6,0.0,0,82.61
MOZAMBIQUE,45,1520,127,75.56,0.8398911111111113,31,4,0.0,0.0033360466512763714,2.22,68.89,0,0.0,0.0042020641036489975,33.77777777777778,8.89,0.0,0,0.0038513680059157015,43.228302222222226,0.0,Country/Region,3,0,0.0042267227426714465,0,1.259593927453409,0,n/a,1,0.0,0,0.0,n/a,34,1,19,1,2,7,41,3,8.89,5,0.0,55.88,0.0,20.59,6.67,8.82,2.22,14.71,0.0,2.22,1,4,2.22,0,91.11
IRAQ,62,1495,128,80.65,0.6531306451612904,15,3,0.0,0.004596330941758556,1.61,24.19,1,0.0,0.0041329512072074024,24.112903225806452,6.45,0.0,0,0.005306329252594966,37.36837580645162,0.0,Country/Region,2,0,0.004157204276509088,0,0.8991848627910451,4,n/a,1,0.0,0,6.45,n/a,55,1,10,0,3,12,59,19,4.84,14,1.61,18.18,0.0,21.82,3.23,34.55,1.61,25.45,0.0,1.61,1,4,0.0,0,95.16
AZERBAIJAN,204,1471,129,63.73,0.33645245098039217,54,12,0.0,0.015123411485786217,0.0,26.47,1,0.0,0.004066602826623471,7.21078431372549,3.92,0.49,0,0.01745953496015118,25.07535,0.0,Country/Region,5,1,0.0040904665489932225,0,0.26889454343323793,7,n/a,7,0.0,0,3.43,n/a,140,1,21,6,1,24,192,25,5.88,70,0.49,15.0,0.0,17.14,2.45,17.86,3.43,50.0,0.0,0.49,0,8,2.94,0,94.12
CONGO DEMOCRATIC REPUBLIC,44,1340,130,84.09,0.8102227272727273,32,3,0.0,0.0032619122812480076,0.0,72.73,0,0.0,0.0037044512492695114,30.454545454545453,11.36,4.55,0,0.003765782050228686,45.032047727272726,0.0,Country/Region,2,2,0.0037261897863024598,0,1.1356685679641232,1,n/a,0,0.0,0,2.27,n/a,41,2,15,1,3,7,41,7,6.82,12,0.0,36.59,0.0,17.07,4.55,17.07,0.0,29.27,0.0,4.55,0,5,2.27,0,93.18
PARAGUAY,34,1269,131,82.35,1.124835294117647,24,7,0.0,0.0025205685809643694,0.0,70.59,1,0.0,0.00350817062337538,37.3235294117647,14.71,0.0,0,0.00290992249335853,49.45606764705882,0.0,Country/Region,4,0,0.003528757342401359,0,1.391817167709499,0,n/a,1,0.0,0,0.0,n/a,30,2,16,2,2,1,27,5,20.59,8,2.94,53.33,0.0,3.33,11.76,16.67,2.94,26.67,0.0,5.88,0,5,5.88,0,79.41
FRENCH GUIANA,35,1069,132,94.29,1.3585857142857143,27,10,0.0,0.0025947029509927333,2.86,77.14,0,0.0,0.0029552674518426173,30.542857142857144,8.57,2.86,0,0.0029955084490455456,46.32573714285714,0.0,Country/Region,8,1,0.0029726096131024848,0,1.138961764664403,0,n/a,2,0.0,0,0.0,n/a,31,3,18,2,9,4,25,6,28.57,3,0.0,58.06,0.0,12.9,22.86,19.35,5.71,9.68,0.0,8.57,1,3,5.71,0,71.43
LIECHTENSTEIN,33,1048,133,96.97,2.1516393939393943,21,0,0.0,0.002446434210936006,3.03,63.64,0,0.0,0.0028972126188316774,31.757575757575758,15.15,3.03,0,0.0028243365376715143,59.00847272727273,0.0,Country/Region,0,1,0.0029142141015261027,0,1.1842593624143296,0,n/a,0,0.0,0,0.0,n/a,30,0,11,0,48,6,33,11,0.0,2,0.0,36.67,0.0,20.0,0.0,36.67,0.0,6.67,0.0,0.0,1,5,0.0,0,100.0
FIJI,56,1014,134,82.14,0.6583267857142857,27,7,0.0,0.0041515247215883734,0.0,48.21,0,0.0,0.002803219079671108,18.107142857142858,5.36,0.0,0,0.004792813518472872,40.67285535714286,0.0,Country/Region,6,0,0.002819668987545294,0,0.6752263969654494,1,n/a,3,0.0,0,1.79,n/a,41,0,12,1,1,10,49,7,12.5,12,0.0,29.27,0.0,24.39,10.71,17.07,5.36,29.27,0.0,0.0,0,3,1.79,0,87.5
YEMEN,47,923,135,80.85,0.5389425531914894,30,1,0.0,0.003484315391333099,0.0,63.83,0,0.0,0.0025516481366237007,19.638297872340427,6.38,0.0,0,0.004022539917289732,39.35113829787234,0.0,Country/Region,0,0,0.002566621770714306,0,0.7323241010187198,0,n/a,0,0.0,0,0.0,n/a,39,1,6,1,0,12,46,7,2.13,14,0.0,15.38,0.0,30.77,0.0,17.95,0.0,35.9,0.0,2.13,0,3,2.13,0,97.87
MAURITANIA,18,921,136,94.44,1.3742944444444445,16,7,0.0,0.0013344186605105486,5.56,88.89,0,0.0,0.002546119104908373,51.166666666666664,11.11,0.0,2,0.0015405472023662804,59.84925,0.0,Country/Region,3,0,0.002561060293421317,0,1.9080361960272856,0,n/a,1,0.0,0,0.0,n/a,15,1,8,2,0,5,11,1,38.89,1,0.0,53.33,11.11,33.33,16.67,6.67,5.56,6.67,0.0,5.56,1,2,11.11,0,61.11
NAMIBIA,40,899,137,82.5,0.8548575000000002,22,1,0.0,0.002965374801134552,0.0,55.0,0,0.0,0.0024852997560397693,22.475,12.5,0.0,0,0.0034234382274806237,48.084362500000005,0.0,Country/Region,0,0,0.0024998840431984413,0,0.8381064528803892,0,n/a,0,0.0,1,0.0,n/a,24,0,6,1,8,9,39,5,2.5,4,0.0,25.0,0.0,37.5,0.0,20.83,0.0,16.67,2.5,0.0,0,5,2.5,0,97.5
MALTA,71,887,138,60.56,0.8099295774647888,18,7,0.0,0.0052635402720138304,0.0,25.35,0,0.0,0.0024521255657478035,12.492957746478874,4.23,1.41,0,0.006076602853778107,29.691887323943664,0.0,Country/Region,3,1,0.0024665151794405087,0,0.4658700112518794,2,n/a,4,0.0,0,2.82,n/a,46,3,13,4,11,18,64,11,9.86,4,0.0,28.26,0.0,39.13,4.23,23.91,5.63,8.7,0.0,4.23,0,3,5.63,0,90.14
GUINEA BISSAU,12,884,139,100.0,1.6098083333333335,12,5,0.0,8.896124403403658E-4,0.0,100.0,0,0.0,0.002443832018174812,73.66666666666667,16.67,8.33,0,0.001027031468244187,63.82993333333334,0.0,Country/Region,3,1,0.0024581729635010253,0,2.7470749141500335,0,n/a,0,0.0,0,0.0,n/a,12,3,8,2,2,2,7,1,41.67,1,0.0,66.67,0.0,16.67,25.0,8.33,0.0,8.33,0.0,25.0,0,2,16.67,0,58.33
MAURITIUS,59,860,140,74.58,0.44466440677966107,22,4,0.0,0.004373927831673464,0.0,37.29,0,0.0,0.0023774836375908804,14.576271186440678,3.39,0.0,0,0.00504957138553392,34.72964406779661,0.0,Country/Region,3,0,0.0023914352359851606,0,0.543558039612477,0,n/a,0,0.0,1,0.0,n/a,36,0,8,1,1,7,55,6,6.78,15,0.0,22.22,0.0,19.44,5.08,16.67,0.0,41.67,1.69,0.0,0,2,1.69,0,93.22
BAHRAIN,69,844,141,81.16,0.5899188405797101,14,5,0.0,0.005115271531957103,0.0,20.29,0,0.0,0.0023332513838682594,12.231884057971014,2.9,0.0,1,0.0059054309424040755,39.98159855072464,0.0,Country/Region,4,0,0.0023469434176412508,0,0.4561344142322699,2,n/a,0,0.0,0,2.9,n/a,59,0,5,0,1,16,64,22,7.25,16,0.0,8.47,1.45,27.12,5.8,37.29,0.0,27.12,0.0,0.0,0,2,0.0,0,92.75
QATAR,47,774,142,80.85,0.5392340425531915,17,0,0.0,0.003484315391333099,0.0,36.17,0,0.0,0.0021397352738317926,16.46808510638298,6.38,2.13,0,0.004022539917289732,37.47314680851064,0.0,Country/Region,0,1,0.0021522917123866447,0,0.6141049341153728,1,n/a,0,0.0,0,2.13,n/a,42,0,7,0,1,15,47,9,0.0,11,0.0,16.67,0.0,35.71,0.0,21.43,0.0,26.19,0.0,0.0,0,3,0.0,0,100.0
MYANMAR,30,740,143,76.67,1.1171,20,2,0.0,0.002224031100850914,3.33,66.67,0,0.0,0.0020457417346712225,24.666666666666668,6.67,3.33,0,0.0025675786706104674,43.83877,0.0,Country/Region,2,1,0.002057746598405836,0,0.9198350391271606,0,n/a,0,0.0,0,0.0,n/a,20,1,10,0,8,3,28,4,6.67,3,0.0,50.0,0.0,15.0,6.67,20.0,0.0,15.0,0.0,3.33,1,2,0.0,0,93.33
ALBANIA,56,734,144,58.93,0.38779285714285716,22,0,0.0,0.0041515247215883734,1.79,39.29,0,0.0,0.0020291546395252396,13.107142857142858,3.57,0.0,0,0.004792813518472872,30.13288035714286,0.0,Country/Region,0,0,0.0020410621665268697,0,0.48877334849372767,1,n/a,0,0.0,0,1.79,n/a,37,0,10,0,3,12,56,3,0.0,12,0.0,27.03,0.0,32.43,0.0,8.11,0.0,32.43,0.0,0.0,1,2,0.0,0,100.0
GREENLAND,23,697,145,86.96,0.6578565217391305,17,2,0.0,0.0017050905106523676,0.0,73.91,1,0.0,0.0019268675527916786,30.304347826086957,4.35,0.0,0,0.0019684769808013584,48.05359565217391,0.0,Country/Region,1,0,0.0019381748366065778,0,1.1300676068242612,0,n/a,1,0.0,0,0.0,n/a,20,0,8,0,0,7,21,4,8.7,1,4.35,40.0,0.0,35.0,4.35,20.0,4.35,5.0,0.0,0.0,0,1,0.0,0,91.3
LIBYA,60,696,146,63.33,0.4715183333333333,27,2,0.0,0.004448062201701828,0.0,45.0,0,0.0,0.0019241030369340148,11.6,5.0,0.0,0,0.005135157341220935,31.141395000000003,0.0,Country/Region,1,0,0.0019353940979600834,0,0.4325710724543944,2,n/a,0,0.0,0,3.33,n/a,44,1,4,1,1,10,58,16,3.33,14,0.0,9.09,0.0,22.73,1.67,36.36,0.0,31.82,0.0,1.67,0,3,1.67,0,96.67
CENT AFR REPUBL,13,688,147,92.31,1.0564923076923078,11,4,0.0,9.637468103687295E-4,0.0,84.62,0,0.0,0.0019019869100727043,52.92307692307692,7.69,0.0,0,0.0011126174239312026,57.87308461538461,0.0,Country/Region,4,0,0.0019131481887881287,0,1.9735338053622238,0,n/a,1,0.0,0,0.0,n/a,12,0,8,0,5,0,9,2,30.77,2,0.0,66.67,0.0,0.0,30.77,16.67,7.69,16.67,0.0,0.0,0,1,0.0,0,69.23
TOGO,40,665,148,82.5,0.47302,22,3,0.0,0.002965374801134552,0.0,55.0,0,0.0,0.0018384030453464364,16.625,2.5,2.5,1,0.0034234382274806237,36.590655000000005,0.0,Country/Region,0,1,0.0018491911999187578,0,0.6199563861684747,0,n/a,2,0.0,1,0.0,n/a,38,1,8,2,1,3,37,7,7.5,20,0.0,21.05,2.5,7.89,0.0,18.42,5.0,52.63,2.5,2.5,0,1,5.0,0,92.5
HONDURAS,31,648,149,77.42,1.4548193548387098,26,3,0.0,0.002298165470879278,3.23,83.87,0,0.0,0.0017914062757661516,20.903225806451612,6.45,0.0,1,0.002653164626297483,44.56535161290323,0.0,Country/Region,2,0,0.0018019186429283536,0,0.7794940349011333,0,n/a,1,0.0,0,0.0,n/a,28,0,16,0,0,6,28,2,9.68,4,0.0,57.14,3.23,21.43,6.45,7.14,3.23,14.29,0.0,0.0,1,2,0.0,0,90.32
CAMBODIA,26,643,150,73.08,0.7471269230769231,13,6,0.0,0.001927493620737459,0.0,50.0,0,0.0,0.0017775836964778326,24.73076923076923,7.69,0.0,1,0.0022252348478624053,39.21912692307693,0.0,Country/Region,4,0,0.0017880149496958817,0,0.9222254628255159,0,n/a,1,0.0,0,0.0,n/a,20,1,10,1,1,3,20,4,23.08,3,0.0,50.0,3.85,15.0,15.38,20.0,3.85,15.0,0.0,3.85,0,2,3.85,0,76.92
BOSNIA & HERZEGOVINA,53,631,151,52.83,0.3923641509433963,18,5,0.0,0.003929121611503282,0.0,33.96,0,0.0,0.0017444095061858668,11.90566037735849,1.89,0.0,0,0.004536055651411826,27.759886792452832,0.0,Country/Region,3,0,0.0017546460859379491,0,0.4439693342854959,2,n/a,1,0.0,0,3.77,n/a,31,1,9,2,0,9,48,9,9.43,4,0.0,29.03,0.0,29.03,5.66,29.03,1.89,12.9,0.0,1.89,0,1,3.77,0,90.57
